Date,"USD/CHF(Open, Ask)","USD/CHF(High, Ask)","USD/CHF(Low, Ask)","USD/CHF(Close, Ask)","USD/CHF(Open, Bid)*","USD/CHF(High, Bid)*","USD/CHF(Low, Bid)*","USD/CHF(Close, Bid)*"
09/06/2016 22:30:00,0.96956,0.96956,0.96953,0.96954,0.96949,0.96949,0.96948,0.96948
09/06/2016 22:29:00,0.96953,0.96957,0.96953,0.96956,0.96948,0.96949,0.96948,0.96949
09/06/2016 22:28:00,0.96955,0.96956,0.96950,0.96953,0.96949,0.96949,0.96944,0.96948
09/06/2016 22:27:00,0.96954,0.96959,0.96953,0.96955,0.96949,0.96951,0.96949,0.96949
09/06/2016 22:26:00,0.96961,0.96961,0.96954,0.96954,0.96954,0.96955,0.96949,0.96949
09/06/2016 22:25:00,0.96965,0.96966,0.96959,0.96961,0.96964,0.96964,0.96954,0.96954
09/06/2016 22:24:00,0.96963,0.96966,0.96962,0.96965,0.96961,0.96964,0.96960,0.96964
09/06/2016 22:23:00,0.96967,0.96971,0.96960,0.96963,0.96961,0.96965,0.96954,0.96961
09/06/2016 22:22:00,0.96977,0.96977,0.96967,0.96967,0.96972,0.96972,0.96961,0.96961
09/06/2016 22:21:00,0.96965,0.96978,0.96965,0.96977,0.96961,0.96972,0.96961,0.96972
09/06/2016 22:19:00,0.96961,0.96965,0.96961,0.96965,0.96956,0.96961,0.96954,0.96961
09/06/2016 22:18:00,0.96962,0.96963,0.96960,0.96961,0.96955,0.96957,0.96953,0.96956
09/06/2016 22:17:00,0.96965,0.96966,0.96956,0.96962,0.96959,0.96959,0.96950,0.96955
09/06/2016 22:16:00,0.96962,0.96967,0.96962,0.96965,0.96955,0.96961,0.96955,0.96959
09/06/2016 22:15:00,0.96962,0.96962,0.96957,0.96962,0.96954,0.96956,0.96951,0.96955
09/06/2016 22:14:00,0.96955,0.96963,0.96955,0.96962,0.96949,0.96957,0.96949,0.96954
09/06/2016 22:13:00,0.96956,0.96959,0.96955,0.96955,0.96950,0.96953,0.96949,0.96949
09/06/2016 22:12:00,0.96958,0.96961,0.96956,0.96956,0.96952,0.96954,0.96950,0.96950
09/06/2016 22:11:00,0.96957,0.96959,0.96955,0.96958,0.96951,0.96953,0.96949,0.96952
09/06/2016 22:10:00,0.96956,0.96957,0.96953,0.96957,0.96952,0.96952,0.96949,0.96951
09/06/2016 22:09:00,0.96957,0.96961,0.96956,0.96956,0.96955,0.96957,0.96951,0.96952
09/06/2016 22:08:00,0.96958,0.96960,0.96957,0.96957,0.96953,0.96956,0.96952,0.96955
09/06/2016 22:07:00,0.96962,0.96962,0.96958,0.96958,0.96956,0.96959,0.96952,0.96953
09/06/2016 22:06:00,0.96971,0.96972,0.96957,0.96962,0.96966,0.96966,0.96955,0.96956
09/06/2016 22:05:00,0.96973,0.96973,0.96962,0.96971,0.96967,0.96967,0.96955,0.96966
09/06/2016 22:04:00,0.96975,0.96977,0.96968,0.96973,0.96969,0.96970,0.96962,0.96967
09/06/2016 22:03:00,0.96968,0.96983,0.96968,0.96975,0.96963,0.96978,0.96961,0.96969
09/06/2016 22:02:00,0.96963,0.96968,0.96961,0.96968,0.96959,0.96964,0.96955,0.96963
09/06/2016 22:01:00,0.96965,0.96967,0.96961,0.96963,0.96960,0.96963,0.96957,0.96959
09/06/2016 22:00:00,0.96980,0.96980,0.96960,0.96965,0.96972,0.96972,0.96953,0.96960
09/06/2016 21:59:00,0.96978,0.96982,0.96976,0.96980,0.96973,0.96977,0.96970,0.96972
09/06/2016 21:58:00,0.96980,0.96980,0.96977,0.96978,0.96972,0.96973,0.96970,0.96973
09/06/2016 21:57:00,0.96977,0.96982,0.96977,0.96980,0.96971,0.96973,0.96971,0.96972
09/06/2016 21:56:00,0.96979,0.96980,0.96976,0.96977,0.96973,0.96973,0.96969,0.96971
09/06/2016 21:55:00,0.96982,0.96984,0.96977,0.96979,0.96977,0.96977,0.96970,0.96973
09/06/2016 21:54:00,0.96980,0.96984,0.96980,0.96982,0.96972,0.96977,0.96972,0.96977
09/06/2016 21:53:00,0.96987,0.96987,0.96977,0.96980,0.96979,0.96979,0.96970,0.96972
09/06/2016 21:52:00,0.96980,0.96989,0.96980,0.96987,0.96974,0.96981,0.96974,0.96979
09/06/2016 21:51:00,0.96977,0.96981,0.96976,0.96980,0.96970,0.96974,0.96970,0.96974
09/06/2016 21:50:00,0.96987,0.96987,0.96976,0.96977,0.96981,0.96982,0.96970,0.96970
09/06/2016 21:49:00,0.96984,0.96990,0.96983,0.96987,0.96979,0.96985,0.96977,0.96981
09/06/2016 21:48:00,0.96986,0.96988,0.96981,0.96984,0.96979,0.96982,0.96975,0.96979
09/06/2016 21:47:00,0.96983,0.96987,0.96971,0.96986,0.96978,0.96981,0.96966,0.96979
09/06/2016 21:46:00,0.96980,0.96987,0.96978,0.96983,0.96975,0.96981,0.96972,0.96978
09/06/2016 21:45:00,0.96981,0.96989,0.96978,0.96980,0.96977,0.96982,0.96973,0.96975
09/06/2016 21:44:00,0.96988,0.96990,0.96977,0.96981,0.96982,0.96982,0.96971,0.96977
09/06/2016 21:43:00,0.97000,0.97001,0.96985,0.96988,0.96994,0.96994,0.96979,0.96982
09/06/2016 21:42:00,0.97002,0.97002,0.96996,0.97000,0.96996,0.96996,0.96990,0.96994
09/06/2016 21:41:00,0.97017,0.97019,0.97000,0.97002,0.97010,0.97010,0.96995,0.96996
09/06/2016 21:40:00,0.97017,0.97019,0.97012,0.97017,0.97011,0.97014,0.97006,0.97010
09/06/2016 21:39:00,0.97018,0.97025,0.97017,0.97017,0.97012,0.97017,0.97011,0.97011
09/06/2016 21:38:00,0.97019,0.97027,0.97016,0.97018,0.97012,0.97021,0.97011,0.97012
09/06/2016 21:37:00,0.97021,0.97029,0.97017,0.97019,0.97016,0.97022,0.97011,0.97012
09/06/2016 21:36:00,0.97034,0.97034,0.97020,0.97021,0.97026,0.97026,0.97014,0.97016
09/06/2016 21:35:00,0.97033,0.97040,0.97028,0.97034,0.97028,0.97033,0.97022,0.97026
09/06/2016 21:34:00,0.97047,0.97048,0.97027,0.97033,0.97040,0.97040,0.97021,0.97028
09/06/2016 21:33:00,0.97054,0.97058,0.97045,0.97047,0.97047,0.97051,0.97039,0.97040
09/06/2016 21:32:00,0.97061,0.97064,0.97054,0.97054,0.97055,0.97059,0.97047,0.97047
09/06/2016 21:31:00,0.97061,0.97064,0.97057,0.97061,0.97055,0.97058,0.97050,0.97055
09/06/2016 21:30:00,0.97087,0.97088,0.97060,0.97061,0.97077,0.97081,0.97053,0.97055
09/06/2016 21:29:00,0.97092,0.97092,0.97087,0.97087,0.97084,0.97084,0.97076,0.97077
09/06/2016 21:28:00,0.97090,0.97093,0.97090,0.97092,0.97082,0.97087,0.97082,0.97084
09/06/2016 21:27:00,0.97087,0.97091,0.97087,0.97090,0.97080,0.97083,0.97079,0.97082
09/06/2016 21:26:00,0.97087,0.97087,0.97083,0.97087,0.97079,0.97082,0.97075,0.97080
09/06/2016 21:25:00,0.97090,0.97094,0.97082,0.97087,0.97082,0.97087,0.97076,0.97079
09/06/2016 21:24:00,0.97089,0.97095,0.97079,0.97090,0.97083,0.97088,0.97073,0.97082
09/06/2016 21:23:00,0.97078,0.97101,0.97078,0.97089,0.97070,0.97094,0.97070,0.97083
09/06/2016 21:22:00,0.97063,0.97084,0.97063,0.97078,0.97055,0.97075,0.97055,0.97070
09/06/2016 21:21:00,0.97068,0.97070,0.97059,0.97063,0.97063,0.97065,0.97052,0.97055
09/06/2016 21:20:00,0.97045,0.97069,0.97045,0.97068,0.97039,0.97064,0.97038,0.97063
09/06/2016 21:19:00,0.97050,0.97053,0.97043,0.97045,0.97045,0.97047,0.97036,0.97039
09/06/2016 21:18:00,0.97050,0.97058,0.97049,0.97050,0.97042,0.97051,0.97042,0.97045
09/06/2016 21:17:00,0.97054,0.97061,0.97044,0.97050,0.97047,0.97055,0.97037,0.97042
09/06/2016 21:16:00,0.97049,0.97055,0.97036,0.97054,0.97043,0.97049,0.97030,0.97047
09/06/2016 21:15:00,0.97008,0.97054,0.97008,0.97049,0.97002,0.97046,0.97002,0.97043
09/06/2016 21:14:00,0.97016,0.97018,0.97006,0.97008,0.97010,0.97011,0.96999,0.97002
09/06/2016 21:13:00,0.97019,0.97021,0.97015,0.97016,0.97013,0.97014,0.97008,0.97010
09/06/2016 21:12:00,0.97022,0.97023,0.97019,0.97019,0.97016,0.97016,0.97012,0.97013
09/06/2016 21:11:00,0.97025,0.97029,0.97022,0.97022,0.97018,0.97020,0.97015,0.97016
09/06/2016 21:10:00,0.97037,0.97038,0.97023,0.97025,0.97033,0.97033,0.97017,0.97018
09/06/2016 21:09:00,0.97030,0.97040,0.97022,0.97037,0.97025,0.97034,0.97015,0.97033
09/06/2016 21:08:00,0.97021,0.97031,0.97019,0.97030,0.97016,0.97026,0.97013,0.97025
09/06/2016 21:07:00,0.97021,0.97023,0.97014,0.97021,0.97014,0.97016,0.97007,0.97016
09/06/2016 21:06:00,0.97020,0.97022,0.97020,0.97021,0.97015,0.97017,0.97012,0.97014
09/06/2016 21:05:00,0.97014,0.97022,0.97014,0.97020,0.97008,0.97016,0.97007,0.97015
