Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*"
08/31/2016 09:22:00,0.75045,0.75055,0.75039,0.75054,0.75040,0.75050,0.75036,0.75049
08/31/2016 09:21:00,0.75053,0.75063,0.75043,0.75045,0.75048,0.75059,0.75039,0.75040
08/31/2016 09:20:00,0.75054,0.75066,0.75040,0.75053,0.75050,0.75062,0.75036,0.75048
08/31/2016 09:19:00,0.75042,0.75066,0.75042,0.75054,0.75037,0.75061,0.75037,0.75050
08/31/2016 09:18:00,0.75051,0.75052,0.75036,0.75042,0.75047,0.75048,0.75031,0.75037
08/31/2016 09:17:00,0.75057,0.75059,0.75050,0.75051,0.75052,0.75056,0.75046,0.75047
08/31/2016 09:16:00,0.75069,0.75069,0.75054,0.75057,0.75065,0.75065,0.75049,0.75052
08/31/2016 09:15:00,0.75086,0.75086,0.75062,0.75069,0.75082,0.75084,0.75060,0.75065
08/31/2016 09:14:00,0.75100,0.75113,0.75085,0.75086,0.75097,0.75110,0.75081,0.75082
08/31/2016 09:13:00,0.75103,0.75109,0.75095,0.75100,0.75099,0.75104,0.75090,0.75097
08/31/2016 09:12:00,0.75092,0.75114,0.75088,0.75103,0.75087,0.75111,0.75083,0.75099
08/31/2016 09:11:00,0.75075,0.75095,0.75075,0.75092,0.75071,0.75090,0.75071,0.75087
08/31/2016 09:10:00,0.75056,0.75077,0.75055,0.75075,0.75054,0.75074,0.75053,0.75071
08/31/2016 09:09:00,0.75057,0.75062,0.75051,0.75056,0.75054,0.75060,0.75049,0.75054
08/31/2016 09:08:00,0.75078,0.75078,0.75055,0.75057,0.75074,0.75074,0.75051,0.75054
08/31/2016 09:07:00,0.75079,0.75089,0.75077,0.75078,0.75077,0.75086,0.75072,0.75074
08/31/2016 09:06:00,0.75052,0.75083,0.75046,0.75079,0.75047,0.75079,0.75042,0.75077
08/31/2016 09:05:00,0.75038,0.75058,0.75038,0.75052,0.75033,0.75053,0.75032,0.75047
08/31/2016 09:04:00,0.75036,0.75044,0.75035,0.75038,0.75031,0.75040,0.75030,0.75033
08/31/2016 09:03:00,0.75035,0.75040,0.75023,0.75036,0.75031,0.75035,0.75018,0.75031
08/31/2016 09:02:00,0.75027,0.75041,0.75022,0.75035,0.75024,0.75036,0.75017,0.75031
08/31/2016 09:01:00,0.75019,0.75037,0.75019,0.75027,0.75014,0.75033,0.75014,0.75024
08/31/2016 09:00:00,0.75007,0.75024,0.75006,0.75019,0.75003,0.75019,0.75002,0.75014
08/31/2016 08:59:00,0.74986,0.75008,0.74975,0.75007,0.74982,0.75004,0.74971,0.75003
08/31/2016 08:58:00,0.74989,0.74992,0.74969,0.74986,0.74983,0.74990,0.74965,0.74982
08/31/2016 08:57:00,0.74955,0.74989,0.74955,0.74989,0.74950,0.74983,0.74950,0.74983
08/31/2016 08:56:00,0.74965,0.74969,0.74947,0.74955,0.74959,0.74965,0.74942,0.74950
08/31/2016 08:55:00,0.74943,0.74967,0.74937,0.74965,0.74937,0.74962,0.74932,0.74959
08/31/2016 08:54:00,0.74928,0.74957,0.74925,0.74943,0.74925,0.74952,0.74920,0.74937
08/31/2016 08:53:00,0.74943,0.74952,0.74925,0.74928,0.74939,0.74948,0.74920,0.74925
08/31/2016 08:52:00,0.74978,0.74978,0.74942,0.74943,0.74972,0.74972,0.74938,0.74939
08/31/2016 08:51:00,0.74967,0.74979,0.74947,0.74978,0.74961,0.74973,0.74941,0.74972
08/31/2016 08:50:00,0.74914,0.74969,0.74912,0.74967,0.74910,0.74965,0.74907,0.74961
08/31/2016 08:49:00,0.74908,0.74952,0.74903,0.74914,0.74906,0.74948,0.74900,0.74910
08/31/2016 08:48:00,0.74992,0.74993,0.74907,0.74908,0.74990,0.74990,0.74904,0.74906
08/31/2016 08:47:00,0.75008,0.75028,0.74992,0.74992,0.75003,0.75023,0.74988,0.74990
08/31/2016 08:46:00,0.75047,0.75063,0.75005,0.75008,0.75042,0.75058,0.75003,0.75003
08/31/2016 08:45:00,0.75078,0.75078,0.75046,0.75047,0.75073,0.75073,0.75041,0.75042
08/31/2016 08:44:00,0.75066,0.75092,0.75065,0.75078,0.75061,0.75088,0.75061,0.75073
08/31/2016 08:43:00,0.75059,0.75067,0.75049,0.75066,0.75054,0.75062,0.75044,0.75061
08/31/2016 08:42:00,0.75054,0.75066,0.75042,0.75059,0.75049,0.75061,0.75037,0.75054
08/31/2016 08:41:00,0.75046,0.75056,0.75030,0.75054,0.75041,0.75051,0.75026,0.75049
08/31/2016 08:40:00,0.75075,0.75078,0.75038,0.75046,0.75070,0.75073,0.75032,0.75041
08/31/2016 08:39:00,0.75087,0.75094,0.75074,0.75075,0.75082,0.75089,0.75070,0.75070
08/31/2016 08:38:00,0.75086,0.75095,0.75076,0.75087,0.75081,0.75089,0.75071,0.75082
08/31/2016 08:37:00,0.75095,0.75096,0.75080,0.75086,0.75090,0.75091,0.75075,0.75081
