Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*"
09/06/2016 22:41:00,1.12527,1.12527,1.12522,1.12525,1.12524,1.12524,1.12518,1.12520
09/06/2016 22:40:00,1.12536,1.12538,1.12522,1.12527,1.12533,1.12535,1.12518,1.12524
09/06/2016 22:39:00,1.12529,1.12543,1.12528,1.12536,1.12527,1.12539,1.12525,1.12533
09/06/2016 22:38:00,1.12521,1.12531,1.12519,1.12529,1.12517,1.12529,1.12515,1.12527
09/06/2016 22:37:00,1.12517,1.12527,1.12512,1.12521,1.12513,1.12523,1.12509,1.12517
09/06/2016 22:36:00,1.12506,1.12528,1.12504,1.12517,1.12503,1.12525,1.12503,1.12513
09/06/2016 22:34:00,1.12503,1.12507,1.12501,1.12506,1.12499,1.12504,1.12497,1.12503
09/06/2016 22:33:00,1.12504,1.12507,1.12498,1.12503,1.12500,1.12504,1.12495,1.12499
09/06/2016 22:32:00,1.12494,1.12508,1.12494,1.12504,1.12490,1.12504,1.12490,1.12500
09/06/2016 22:31:00,1.12495,1.12497,1.12493,1.12494,1.12492,1.12495,1.12490,1.12490
09/06/2016 22:30:00,1.12493,1.12497,1.12492,1.12495,1.12489,1.12493,1.12488,1.12492
09/06/2016 22:29:00,1.12493,1.12494,1.12491,1.12493,1.12489,1.12490,1.12488,1.12489
09/06/2016 22:28:00,1.12494,1.12497,1.12492,1.12493,1.12491,1.12493,1.12489,1.12489
09/06/2016 22:27:00,1.12494,1.12497,1.12492,1.12494,1.12491,1.12493,1.12489,1.12491
09/06/2016 22:26:00,1.12487,1.12497,1.12484,1.12494,1.12483,1.12493,1.12480,1.12491
09/06/2016 22:25:00,1.12483,1.12487,1.12482,1.12487,1.12479,1.12483,1.12479,1.12483
09/06/2016 22:24:00,1.12483,1.12484,1.12481,1.12483,1.12480,1.12480,1.12478,1.12479
09/06/2016 22:23:00,1.12470,1.12485,1.12470,1.12483,1.12466,1.12480,1.12466,1.12480
09/06/2016 22:22:00,1.12458,1.12471,1.12457,1.12470,1.12456,1.12467,1.12453,1.12466
09/06/2016 22:21:00,1.12468,1.12469,1.12457,1.12458,1.12464,1.12465,1.12454,1.12456
09/06/2016 22:20:00,1.12469,1.12471,1.12466,1.12468,1.12465,1.12467,1.12463,1.12464
09/06/2016 22:19:00,1.12482,1.12486,1.12467,1.12469,1.12479,1.12484,1.12463,1.12465
09/06/2016 22:18:00,1.12483,1.12484,1.12481,1.12482,1.12480,1.12480,1.12478,1.12479
09/06/2016 22:17:00,1.12478,1.12491,1.12477,1.12483,1.12474,1.12487,1.12474,1.12480
09/06/2016 22:16:00,1.12483,1.12484,1.12474,1.12478,1.12480,1.12480,1.12471,1.12474
09/06/2016 22:15:00,1.12478,1.12489,1.12478,1.12483,1.12474,1.12485,1.12474,1.12480
09/06/2016 22:14:00,1.12487,1.12489,1.12471,1.12478,1.12483,1.12486,1.12469,1.12474
09/06/2016 22:13:00,1.12488,1.12488,1.12487,1.12487,1.12485,1.12485,1.12483,1.12483
